Seeds, random, policy, tree, code, tree 40 eps, tree 100 eps, tree 200 eps
646, -304.8015213627481, 271.53458980921755, -211.58021220000563, -211.58021220000563, 22.993083589551105, -170.74082958418842, 274.6781910039921
324, -327.0516865387192, 259.1036877488364, -85.78585305250789, -85.78589778916893, 98.4807696939101, 255.61311006530934, 254.91402401707583
519, -138.49533686576262, 311.07739440235025, -126.61869853152163, -126.61869853152163, 48.711263235101114, 303.85217657742965, 308.4979565356525
161, -124.91360866070465, 271.763070686796, -442.724436168236, -442.724436168236, -488.24884320104474, 270.8676278668662, 274.1623901716
706, -103.30923307528207, 240.57694553005624, -71.83290028435621, -71.83290028435621, 242.36893718292663, 243.19893876634376, 244.08229933655593
734, -136.68636750311754, 278.5418566936078, 258.57055591675305, 258.57055591675305, 273.3233917955505, 253.13492321556055, 273.68620515092937
683, -292.5670517380644, 228.5475905861472, -126.45092551537485, -126.45092551537485, 232.1706797308283, 230.39681440232613, 228.6072534281392
353, -343.9130140739922, 239.1890443739005, 238.04211795674073, 238.04211795674073, -23.86990004353916, 235.13773305969747, 243.1097961443273
455, -90.58045792406669, 283.21160882866525, -53.21447867349741, -53.21447867349741, 316.97987798210534, 254.53601156854774, 285.06243136877697
847, -99.43250831708652, 256.40549416522185, -119.78757092220827, -119.78757092220827, 262.48533112598784, 261.7081787547402, 258.2231507760274
