Seeds, random, policy, tree, code
358, -101.28054278649061, 281.45905311158606, -130.6476328048905, -119.38874337915286
381, -9.450240223766698, 125.27882155782035, -22.5836484760748, 50.73897316828737
539, -125.45267806597143, 235.45992721330208, -11.15053867650893, -11.15053867650893
957, -128.07531018958662, 234.2699229051278, -10.802896893565247, -10.427580273890399
668, -146.93898057525215, 259.74791586494956, -485.5268579102934, -485.5268579102934
754, 11.85151676717551, 238.02373465423196, 205.39256066125867, -95.41998678578332
561, -380.95668585322585, 248.89663380904327, 178.80112375321633, -78.85392375346423
138, -286.8183808140362, 240.78949456057327, 174.96537550201128, -59.25744391114394
758, -268.6185922746006, 46.0417970485521, -156.77035573451366, -58.366099947966866
498, -483.234437184875, 279.77333306000565, 99.3337493633922, 99.96119051206132
