Seeds, policy, tree, tree 40 eps, tree 100 eps, tree 200 eps
570, 280.73738208451925, -55.57347429887466, 285.5866366230052, -4.603180521502836, -173.37564171951192
940, 256.26852208294054, -2.967951165263358, 255.16111563294626, 257.6804355955179, 260.78410592291476
799, 228.17886686738166, -534.0275997294509, 231.5127315438021, 224.66474543600805, 228.68732959976415
477, 275.7346869856909, -380.0855256582245, -233.7266968910315, 1.3785144552505812, 6.781813657883873
464, 271.4501222488127, -135.90786497673176, 280.50391425049844, -76.3155785005126, 253.6896320385254
162, 266.8183730355612, 262.5920234649521, 265.14870590064737, 271.1741208068951, 268.4159115376166
290, 218.9916517586668, -513.5226922681668, 217.84059956326328, 215.19964367715826, 218.7689438656733
693, 258.5531088394205, 219.45129277531726, 246.92760137443892, 257.73922621208817, 253.82031573453327
944, 251.8430233229281, -50.58009822914437, 247.33638360161285, 236.11895432931294, 244.61342120450684
260, 234.7804505821249, 222.84730936476987, 284.8768673751435, 3.4053138620222967, -20.95662564976685
