Seeds, policy, tree, tree 40 eps, tree 100 eps, tree 200 eps
552, 274.3760145742283, -160.13824646950258, 259.0483470102748, 31.65920966305265, 267.0928174420643
849, 289.9965486808496, -157.39891784653693, 267.2996020840413, 50.30229449370992, 298.1675247784383
277, 273.8800756822414, 77.77006243571117, 262.8855635456406, 260.2393118124747, 265.85371640156643
453, 260.80856013788633, 244.41664626362405, 262.390877967303, 264.04884075427833, 263.19662505323026
956, 264.4786592353192, -76.9192777758817, 232.77077586454737, -77.73912288969963, 265.46175096222356
974, 259.4495065815132, -494.03158541373045, 257.5490165997494, 258.0595603069209, 242.87526604615988
641, 257.0776875045846, 236.0216098787614, -26.1845260826434, 257.1661902627435, 259.5831601646896
337, 241.95563673207167, -353.7401384881482, 228.7948685481656, 244.26325109014027, 237.22942596604904
557, 253.02335118288102, 245.37010265006862, 263.49928501599356, 253.9374396904721, 265.0938106334405
456, 274.910233446792, -381.73106199332483, 18.857545270858097, 269.7870538416291, 266.54904484996996
