Seeds, random, policy, tree, code
303, -382.4809908642279, 31.36510613114649, 184.00631809776644, 184.00631809776644
137, 2.909500114182123, 242.17733535167645, 241.17549800842878, 241.17549800842878
593, -90.05849681823125, 217.0242667461867, 216.4438419015524, 216.4438419015524
585, -72.2004591488909, 296.1230659597073, 303.31318382166455, 303.31318382166455
848, -119.9892159796634, 275.54687026217823, 282.55841478033665, 282.55841478033665
312, -129.59117039549767, 230.10001647859974, 235.71340855935267, 235.71340855935267
706, -321.24572317711113, 240.57694553005624, 242.36893718292663, 242.36893718292663
429, -84.46563820789838, 237.22202850738643, 244.11823903578872, 244.11823903578872
914, -155.8399446136495, 281.1485559989817, 283.6322376276136, 283.6322376276136
749, -121.2845052936425, 261.0538712806225, 265.4745139834948, 265.4745139834948
