Seeds, policy, tree, tree 40 eps, tree 100 eps, tree 200 eps
225, 259.2099352904547, 258.5017844803043, 262.8374130400962, 257.84281954099663, 260.48205289211586
583, 255.51984455109658, -181.1926838228448, -32.01494178064307, 212.987095329964, 254.8946762563352
396, 240.84998867952575, 3.4807084418707177, 238.35061388455435, 4.63827452267374, 241.0839011652419
510, 266.1086187867869, 18.03799930734553, 251.1951386303047, 35.045452764436845, 260.4426621506077
928, 124.58134976110682, 83.11758724610942, 120.67595446415893, 215.3425317166006, 41.093354769223566
722, 277.25517420164806, 42.59663892647907, 245.91227033915501, 266.63487549527673, 263.4066905442487
845, 237.15638864287266, -81.9174278372813, 242.51982757709996, 243.63024450234136, 241.26442897962434
843, 277.528977047376, -378.08796749688554, -544.5786312715185, 14.77923051391744, 3.6571394083625677
334, 232.90544413001433, -49.793516329433714, 218.54542121275375, 233.68281734310892, 229.22483042124844
343, 24.850108563085058, -372.3636054601618, -30.404630383316743, 205.6601969134965, -36.88046398026357
309, 232.26980572922383, 218.76089462489074, 233.6444580633718, 236.35468859285757, 234.54164397438547
750, 243.50554845657172, -152.7577635464662, 81.75331979800009, 243.3219027820487, 243.56513582576923
842, 210.57404742359896, -122.89132119163736, 119.49187461086036, 209.25702783877023, 22.41192496526351
120, 223.3029206624929, -100.55791828772618, 227.09116283475137, 226.4281219945296, 225.72196755161963
855, 264.12242094676384, -129.30787240943323, 253.53059493196392, 236.96632591113087, 248.015661525126
348, 288.8172547334553, -35.930529850811396, 291.68929682117755, -25.527848011714127, 56.49713209659973
110, 242.4776868372257, -120.96507521779104, 247.68432151215424, 244.20835256981118, 243.21582229552484
819, 252.71549203706815, 230.9215724117301, 250.347402201866, 247.5430500878159, 251.41569522515053
649, 266.6538889257713, 158.92496855481562, -323.9219110595327, 262.84895477920645, 264.432464516863
546, 31.435539433912396, -94.23397120946298, 156.07511386420242, 40.05783219993356, -33.62828036807976
