Seeds, random, policy, tree, code
790, 22.0, 500.0, 500.0, 500.0
747, 16.0, 500.0, 500.0, 500.0
503, 14.0, 500.0, 500.0, 500.0
237, 27.0, 500.0, 500.0, 500.0
582, 14.0, 500.0, 500.0, 500.0
767, 18.0, 500.0, 500.0, 500.0
208, 40.0, 500.0, 500.0, 500.0
887, 17.0, 500.0, 500.0, 500.0
998, 10.0, 500.0, 500.0, 500.0
699, 35.0, 500.0, 500.0, 500.0
