Seeds, policy, tree, tree 40 eps, tree 100 eps, tree 200 eps
331, 500.0, 500.0, 500.0, 500.0, 500.0
588, 500.0, 500.0, 500.0, 500.0, 500.0
116, 500.0, 500.0, 500.0, 500.0, 500.0
835, 500.0, 500.0, 500.0, 500.0, 500.0
475, 500.0, 500.0, 500.0, 500.0, 500.0
830, 500.0, 500.0, 500.0, 500.0, 500.0
846, 500.0, 500.0, 500.0, 500.0, 500.0
890, 500.0, 500.0, 500.0, 500.0, 500.0
598, 500.0, 500.0, 500.0, 500.0, 500.0
472, 500.0, 500.0, 500.0, 500.0, 500.0
