Seeds, random, policy, tree, code, tree 40 eps, tree 100 eps, tree 200 eps
522, -200.52849337940586, 230.22607401538446, -337.2622598394945, -337.2622598394945, 219.784046308504, 229.87607682879613, 230.49892822143332
829, -238.50531508005508, 257.0996290432978, 253.6620588184993, 253.6620588184993, 248.866198775653, 252.0424762097497, 249.50391255777902
484, -57.95498296417122, 266.40924734653424, 207.40763503087396, 207.40763503087396, 256.3900208425073, 267.6342355290521, 264.2748653662269
309, -413.73492599256633, 232.26980572922383, 225.1437049019509, 225.1437049019509, 232.39797063898598, 234.05253889238585, 234.72692203711966
841, -229.67874202777983, 246.7824382955572, -426.1904843250419, -426.1904843250419, 235.13034997844616, 242.58069833200688, 245.77735247472145
729, -121.86846814394181, 269.4678613973819, -180.71022181334547, -180.71022181334547, -229.18652344166355, 286.65928641550545, 271.2800973211267
616, -247.68382038887913, 255.27425375893333, -612.8974488685224, -612.8974488685224, -170.4079236341226, 255.45260834291784, 262.6685732033311
423, -114.69974090028174, 313.1333918935029, -157.55721701157182, -157.55721701157182, -240.07040312066704, -165.14271623742232, 22.864434368882513
490, -344.32382810056976, 210.40200188804482, 269.41343701316214, 269.41343701316214, 14.244269421499752, 266.10826994806473, 264.792252059024
460, 7.335762323765891, 269.20535521402394, -171.17297129606516, -171.17297129606516, 32.401949809396, 277.7669448687884, 53.845791099097625
814, -261.41966312271995, 259.98379758609906, 253.32239212198607, 253.32239212198607, 265.00907302764864, 262.32688271602797, 262.45883330432093
886, -92.14851174364037, 252.8369835894437, -288.75475747077434, -288.75475747077434, 252.31199842823168, 257.73045486855756, 253.02425522901027
800, -138.94172441132426, 230.5423315836794, -99.62385100284227, -99.62385100284227, 217.32518018457836, 232.79955951793903, 229.59547451997042
164, -214.9923675527297, 262.01734478973367, -174.86889220053888, -174.86889220053888, -31.299765223379808, 275.37275039242485, 279.10082455084205
476, -248.29800413555108, 277.18224493553066, -292.77629190612674, -292.77629190612674, 5.544039526669877, 287.7569741073165, 287.2108114691332
683, -481.785522680235, 228.5475905861472, -589.2772106887885, -589.2772106887885, 243.423054682405, 234.90984379614525, 228.6147110542456
480, -157.86100596313423, 222.5199070401851, 224.0938792681089, 224.0938792681089, 222.51683275498596, 222.8554311259931, 220.74404193908867
151, -278.79288344136467, 292.8252859936056, -620.2564865024538, -620.2564865024538, -490.3468776931787, 52.37936192509653, 287.8165734632095
966, -148.2364652955663, 260.3882804953249, -108.20753237948861, -108.20753237948861, 259.4142430972171, 272.1332172572735, 259.8206572298156
530, -92.19425012379767, 286.4151845426313, -164.51603158486535, -164.51603158486535, -162.175041552947, 277.73193789117863, 277.23811963766457
965, -202.89479572374967, 233.50205393351916, 232.2245669347307, 232.2245669347307, 234.15666663964885, 230.89454140866803, 10.946222507899648
320, -116.64947135079285, 269.20197448022964, -172.93826058371553, -172.93826058371553, 6.4172198722407074, 278.5680433697588, 46.22360727276151
279, -71.03771072493535, 257.19676820810514, -359.3747586210073, -359.3747586210073, 244.72477426731098, 255.02532656074015, 258.6141979510463
102, -43.67579347654751, 257.27155339790113, 243.31378803106938, 243.31378803106938, 258.725743992794, 259.1315104406542, 255.5758076910963
176, -99.84878458297689, 266.83244716521045, -82.57798088152923, -82.57798088152923, -2.1888012042185068, 239.3489736881331, 267.1844834853222
574, -127.40442338642629, 250.1732108939027, 17.04913213581318, 17.04913213581318, 251.49039618251606, 235.65339103753684, 251.13341169996417
560, -95.04355304866678, 265.6976247981126, -176.18329852368072, -176.18329852368072, 49.83649109499018, 276.12915258570933, 281.100945359707
453, -128.82890688710626, 260.80856013788633, -627.3590808287445, -627.3590808287445, 255.41608675288524, 263.7935649766572, 261.5875097411381
456, -63.984300602576106, 274.910233446792, 275.2271203265297, 275.2271203265297, 272.8178100035808, 270.8851100553244, 260.87974051703884
446, -285.78339551300377, 275.9491418969186, -625.4464728184037, -625.4464728184037, -224.04423897915103, -205.66715872632193, -120.29005008847084
547, -129.53822558762587, 257.75226936960803, -46.282638532195264, -46.282638532195264, -16.505490585655707, 253.4608971672296, 257.76681028733657
752, -328.5349904299562, 243.92167550122667, -40.34631384491216, -40.34631384491216, 229.54655939121494, 247.29901549362665, 228.44959389546486
396, -196.6016781095911, 240.84998867952575, 236.27172401516157, 236.27172401516157, 245.53647715587138, 245.48479797293908, 239.0604567237435
508, -119.60801452985089, 297.91684103547453, 221.74159429912464, 221.74159429912464, -310.81285805592154, 295.38009362761227, 17.866151052132864
193, -210.5976160146538, 264.6143715443765, -588.4131417330764, -588.4131417330764, 123.35853034499803, 256.47593973191164, 253.22895893271627
252, -319.80936833647246, 268.399845325554, -655.8944674333036, -655.8944674333036, 270.9324247375386, 251.1993022606915, 259.19233594761647
392, -213.51265572031883, 269.7599880277172, 23.416346922985483, 23.416346922985483, 278.1129369044051, 271.89516170377925, -411.7821120240138
325, -120.56127433103838, 253.3348774103885, -635.2313947473505, -635.2313947473505, 83.91922431229563, 226.1056801661039, 254.90314053250808
457, -283.9629205748862, 263.8607208906651, 264.40245376007806, 264.40245376007806, 1.6008514387323203, 265.20977098494, 261.5971118674862
805, -91.86502408672536, 293.53163797112234, -164.0334139043237, -164.0334139043237, -137.81568778191956, 288.8505274585012, 276.7754362174702
536, -457.0159980544501, 290.8868630688353, -626.4699423805223, -626.4699423805223, -126.62429473866402, -521.7344754731553, -145.44313632540832
137, -52.63772261102143, 242.17733535167645, 251.2373176624068, 251.2373176624068, 257.6954334903818, 260.5808237357802, 260.7956804406185
